title,summary,published
"Solar Flare Prediction Model with Three Machine-Learning Algorithms
  Using Ultraviolet Brightening and Vector Magnetogram","We developed a flare prediction model using machine learning, which is
optimized to predict the maximum class of flares occurring in the following 24
h. Machine learning is used to devise algorithms that can learn from and make
decisions on a huge amount of data. We used solar observation data during the
period 2010-2015, such as vector magnetogram, ultraviolet (UV) emission, and
soft X-ray emission taken by the Solar Dynamics Observatory and the
Geostationary Operational Environmental Satellite. We detected active regions
from the full-disk magnetogram, from which 60 features were extracted with
their time differentials, including magnetic neutral lines, the current
helicity, the UV brightening, and the flare history. After standardizing the
feature database, we fully shuffled and randomly separated it into two for
training and testing. To investigate which algorithm is best for flare
prediction, we compared three machine learning algorithms: the support vector
machine (SVM), k-nearest neighbors (k-NN), and extremely randomized trees
(ERT). The prediction score, the true skill statistic (TSS), was higher than
0.9 with a fully shuffled dataset, which is higher than that for human
forecasts. It was found that k-NN has the highest performance among the three
algorithms. The ranking of the feature importance showed that the previous
flare activity is most effective, followed by the length of magnetic neutral
lines, the unsigned magnetic flux, the area of UV brightening, and the time
differentials of features over 24 h, all of which are strongly correlated with
the flux emergence dynamics in an active region.",2016-11-06T15:09:50Z
"Inferring Maps of the Sun's Far-side Unsigned Magnetic Flux from
  Far-side Helioseismic Images using Machine Learning Techniques","Accurate modeling of the Sun's coronal magnetic field and solar wind
structures require inputs of the solar global magnetic field, including both
the near and far sides, but the Sun's far-side magnetic field cannot be
directly observed. However, the Sun's far-side active regions are routinely
monitored by helioseismic imaging methods, which only require continuous
near-side observations. It is therefore both feasible and useful to estimate
the far-side magnetic-flux maps using the far-side helioseismic images despite
their relatively low spatial resolution and large uncertainties. In this work,
we train two machine-learning models to achieve this goal. The first
machine-learning training pairs simultaneous SDO/HMI-observed magnetic-flux
maps and SDO/AIA-observed EUV 304$\r{A}$ images, and the resulting model can
convert 304$\r{A}$ images into magnetic-flux maps. This model is then applied
on the STEREO/EUVI-observed far-side 304$\r{A}$ images, available for about 4.3
years, for the far-side magnetic-flux maps. These EUV-converted magnetic-flux
maps are then paired with simultaneous far-side helioseismic images for a
second machine-learning training, and the resulting model can convert far-side
helioseismic images into magnetic-flux maps. These helioseismically derived
far-side magnetic-flux maps, despite their limitations in spatial resolution
and accuracy, can be routinely available on a daily basis, providing useful
magnetic information on the Sun's far side using only the near-side
observations.",2022-11-23T02:10:00Z
Inclination Angles for Be Stars Determined Using Machine Learning,"We test the viability of training machine learning algorithms with synthetic
H alpha line profiles to determine the inclination angles of Be stars (the
angle between the central B star's rotation axis and the observer's line of
sight) from a single observed medium-resolution, moderate S/N, spectrum. The
performance of three different machine learning algorithms were compared:
neural networks tasked with regression, neural networks tasked with
classification, and support vector regression. Of these three algorithms,
neural networks tasked with regression consistently outperformed the other
methods with a RMSE error of 7.6 degrees on an observational sample of 92
galactic Be stars with inclination angles known from direct H alpha profile
fitting, from the spectroscopic signature of gravitational darkening, and, in a
few cases, from interferometric observations that resolved the disk. The
trained neural networks enable a quick and useful determination of the
inclination angles of observed Be stars which can be used to search for
correlated spin axes in young open clusters or to extract an equatorial
rotation velocity from a measurement of v sin(i).",2023-10-27T19:23:55Z
"A Machine Learning Approach to Correcting Atmospheric Seeing in Solar
  Flare Observations","Current post-processing techniques for the correction of atmospheric seeing
in solar observations -- such as Speckle interferometry and Phase Diversity
methods -- have limitations when it comes to their reconstructive capabilities
of solar flare observations. This, combined with the sporadic nature of flares
meaning observers cannot wait until seeing conditions are optimal before taking
measurements, means that many ground-based solar flare observations are marred
with bad seeing. To combat this, we propose a method for dedicated flare seeing
correction based on training a deep neural network to learn to correct
artificial seeing from flare observations taken during good seeing conditions.
This model uses transfer learning, a novel technique in solar physics, to help
learn these corrections. Transfer learning is when another network already
trained on similar data is used to influence the learning of the new network.
Once trained, the model has been applied to two flare datasets: one from
AR12157 on 2014/09/06 and one from AR12673 on 2017/09/06. The results show good
corrections to images with bad seeing with a relative error assigned to the
estimate based on the performance of the model. Further discussion takes place
of improvements to the robustness of the error on these estimates.",2020-11-25T15:17:26Z
"Solar Flare Prediction Using SDO/HMI Vector Magnetic Field Data with a
  Machine-Learning Algorithm","We attempt to forecast M-and X-class solar flares using a machine-learning
algorithm, called Support Vector Machine (SVM), and four years of data from the
Solar Dynamics Observatory's Helioseismic and Magnetic Imager, the first
instrument to continuously map the full-disk photospheric vector magnetic field
from space. Most flare forecasting efforts described in the literature use
either line-of-sight magnetograms or a relatively small number of ground-based
vector magnetograms. This is the first time a large dataset of vector
magnetograms has been used to forecast solar flares. We build a catalog of
flaring and non-flaring active regions sampled from a database of 2,071 active
regions, comprised of 1.5 million active region patches of vector magnetic
field data, and characterize each active region by 25 parameters. We then train
and test the machine-learning algorithm and we estimate its performances using
forecast verification metrics with an emphasis on the True Skill Statistic
(TSS). We obtain relatively high TSS scores and overall predictive abilities.
We surmise that this is partly due to fine-tuning the SVM for this purpose and
also to an advantageous set of features that can only be calculated from vector
magnetic field data. We also apply a feature selection algorithm to determine
which of our 25 features are useful for discriminating between flaring and
non-flaring active regions and conclude that only a handful are needed for good
predictive abilities.",2014-11-05T21:00:03Z
"ODUSSEAS: A machine learning tool to derive effective temperature and
  metallicity for M dwarf stars","Aims. The derivation of spectroscopic parameters for M dwarf stars is very
important in the fields of stellar and exoplanet characterization. The goal of
this work is the creation of an automatic computational tool, able to derive
quickly and reliably the T$_{\mathrm{eff}}$ and [Fe/H] of M dwarfs by using
their optical spectra, that can be obtained by different spectrographs with
different resolutions.
  Methods. ODUSSEAS (Observing Dwarfs Using Stellar Spectroscopic
Energy-Absorption Shapes) is based on the measurement of the pseudo equivalent
widths for more than 4000 stellar absorption lines and on the use of the
machine learning Python package ""scikit-learn"" for predicting the stellar
parameters.
  Results. We show that our tool is able to derive parameters accurately and
with high precision, having precision errors of ~30 K for T$_{\mathrm{eff}}$
and ~0.04 dex for [Fe/H]. The results are consistent for spectra with
resolutions between 48000 and 115000 and SNR above 20.",2020-02-21T15:49:31Z
"Improvements on coronal hole detection in SDO/AIA images using
  supervised classification","We demonstrate the use of machine learning algorithms in combination with
segmentation techniques in order to distinguish coronal holes and filaments in
SDO/AIA EUV images of the Sun. Based on two coronal hole detection techniques
(intensity-based thresholding, SPoCA), we prepared data sets of manually
labeled coronal hole and filament channel regions present on the Sun during the
time range 2011 - 2013. By mapping the extracted regions from EUV observations
onto HMI line-of-sight magnetograms we also include their magnetic
characteristics. We computed shape measures from the segmented binary maps as
well as first order and second order texture statistics from the segmented
regions in the EUV images and magnetograms. These attributes were used for data
mining investigations to identify the most performant rule to differentiate
between coronal holes and filament channels. We applied several classifiers,
namely Support Vector Machine, Linear Support Vector Machine, Decision Tree,
and Random Forest and found that all classification rules achieve good results
in general, with linear SVM providing the best performances (with a true skill
statistic of ~0.90). Additional information from magnetic field data
systematically improves the performance across all four classifiers for the
SPoCA detection. Since the calculation is inexpensive in computing time, this
approach is well suited for applications on real-time data. This study
demonstrates how a machine learning approach may help improve upon an
unsupervised feature extraction method.",2015-06-22T14:29:02Z
"Solar Flare Prediction and Feature Selection using Light Gradient
  Boosting Machine Algorithm","Solar flares are among the most severe space weather phenomena, and they have
the capacity to generate radiation storms and radio disruptions on Earth. The
accurate prediction of solar flare events remains a significant challenge,
requiring continuous monitoring and identification of specific features that
can aid in forecasting this phenomenon, particularly for different classes of
solar flares. In this study, we aim to forecast C and M class solar flares
utilising a machine-learning algorithm, namely the Light Gradient Boosting
Machine. We have utilised a dataset spanning 9 years, obtained from the
Space-weather Helioseismic and Magnetic Imager Active Region Patches (SHARP),
with a temporal resolution of 1 hour. A total of 37 flare features were
considered in our analysis, comprising of 25 active region parameters and 12
flare history features. To address the issue of class imbalance in solar flare
data, we employed the Synthetic Minority Oversampling Technique (SMOTE). We
used two labeling approaches in our study: a fixed 24-hour window label and a
varying window that considers the changing nature of solar activity. Then, the
developed machine learning algorithm was trained and tested using forecast
verification metrics, with an emphasis on evaluating the true skill statistic
(TSS). Furthermore, we implemented a feature selection algorithm to determine
the most significant features from the pool of 37 features that could
distinguish between flaring and non-flaring active regions. We found that
utilising a limited set of useful features resulted in improved prediction
performance. For the 24-hour prediction window, we achieved a TSS of 0.63
(0.69) and accuracy of 0.90 (0.97) for $\geq$C ($\geq$M) class solar flares.",2023-10-30T08:04:48Z
Identifying typical Mg II flare spectra using machine learning,"IRIS performs solar observations over a large range of atmospheric heights,
including the chromosphere where the majority of flare energy is dissipated.
The strong Mg II h&k spectral lines are capable of providing excellent
atmospheric diagnostics, but have not been fully utilized for flaring
atmospheres. We aim to investigate whether the physics of the chromosphere is
identical for all flare observations by analyzing if there are certain spectra
that occur in all flares. To achieve this, we automatically analyze hundreds of
thousands of Mg II h&k line profiles from a set of 33 flares, and use a machine
learning technique which we call supervised hierarchical k-means, to cluster
all profile shapes. We identify a single peaked Mg II profile, in contrast to
the double-peaked quiet Sun profiles, appearing in every flare. Additionally,
we find extremely broad profiles with characteristic blue shifted central
reversals appearing at the front of fast-moving flare ribbons. These profiles
occur during the impulsive phase of the flare, and we present results of their
temporal and spatial correlation with non-thermal hard X-ray signatures,
suggesting that flare-accelerated electrons play an important role in the
formation of these profiles. The ratio of the integrated Mg II h&k lines can
also serve as an opacity diagnostic, and we find higher opacities during each
flare maximum. Our study shows that machine learning is a powerful tool for
large scale statistical solar analyses.",2018-05-26T15:19:46Z
"Testing and Validating Two Morphological Flare Predictors by Logistic
  Regression Machine Learning","Whilst the most dynamic solar active regions (ARs) are known to flare
frequently, predicting the occurrence of individual flares and their magnitude,
is very much a developing field with strong potentials for machine learning
applications.
  The present work is based on a method which is developed to define numerical
measures of the mixed states of ARs with opposite polarities. The method yields
compelling evidence for the assumed connection between the level of mixed
states of a given AR and the level of the solar eruptive probability of this AR
by employing two morphological parameters: (i) the separation parameter
$S_{l-f}$ and (ii) the sum of the horizontal magnetic gradient $G_{S}$.
  In this work, we study the efficiency of $S_{l-f}$ and $G_{S}$ as flare
predictors on a representative sample of ARs, based on the SOHO/MDI-Debrecen
Data (SDD) and the SDO/HMI - Debrecen Data (HMIDD) sunspot catalogues. In
particular, we investigate about 1000 ARs in order to test and validate the
joint prediction capabilities of the two morphological parameters by applying
the logistic regression machine learning method. Here, we confirm that the two
parameters with their threshold values are, when applied together, good
complementary predictors. Furthermore, the prediction probability of these
predictor parameters is given at least 70\% a day before.",2020-12-15T09:31:21Z
3D solar coronal loop reconstructions with machine learning,"The magnetic field plays an essential role in the initiation and evolution of
different solar phenomena in the corona. The structure and evolution of the 3D
coronal magnetic field are still not very well known. A way to get the 3D
structure of the coronal magnetic field is by performing magnetic field
extrapolations from the photosphere to the corona. In previous work, it was
shown that by prescribing the 3D reconstructed loops' geometry, the magnetic
field extrapolation finds a solution with a better agreement between the
modeled field and the reconstructed loops. Also, it improves the quality of the
field extrapolation. Stereoscopy represents the classical method for performing
3D coronal loop reconstruction. It uses at least two view directions. When only
one vantage point of the coronal loops is available, other 3D reconstruction
methods must be applied. Within this work, we present a method for the 3D loop
reconstruction based on machine learning. Our purpose for developing this
method is to use as many observed coronal loops in space and time for the
modeling of the coronal magnetic field. Our results show that we can build
machine learning models that can retrieve 3D loops based only on their
projection information. In the end, the neural network model will be able to
use only 2D information of the coronal loops, identified, traced and extracted
from the EUV images, for the calculation of their 3D geometry.",2021-03-18T00:33:30Z
"Prediction of Solar Proton Events with Machine Learning: Comparison with
  Operational Forecasts and ""All-Clear"" Perspectives","Solar Energetic Particle events (SEPs) are among the most dangerous transient
phenomena of solar activity. As hazardous radiation, SEPs may affect the health
of astronauts in outer space and adversely impact current and future space
exploration. In this paper, we consider the problem of daily prediction of
Solar Proton Events (SPEs) based on the characteristics of the magnetic fields
in solar Active Regions (ARs), preceding soft X-ray and proton fluxes, and
statistics of solar radio bursts. The machine learning (ML) algorithm uses an
artificial neural network of custom architecture designed for whole-Sun input.
The predictions of the ML model are compared with the SWPC NOAA operational
forecasts of SPEs. Our preliminary results indicate that 1) for the AR-based
predictions, it is necessary to take into account ARs at the western limb and
on the far side of the Sun; 2) characteristics of the preceding proton flux
represent the most valuable input for prediction; 3) daily median
characteristics of ARs and the counts of type II, III, and IV radio bursts may
be excluded from the forecast without performance loss; and 4) ML-based
forecasts outperform SWPC NOAA forecasts in situations in which missing SPE
events is very undesirable. The introduced approach indicates the possibility
of developing robust ""all-clear"" SPE forecasts by employing machine learning
methods.",2021-07-08T15:41:23Z
"Youth analysis of near infrared spectra of young low-mass stars and
  brown dwarfs","We aim at building a method that efficiently identifies young low-mass stars
and brown dwarfs from low-resolution near-infrared spectra, by studying
gravity-sensitive features and their evolution with age. We built a dataset
composed of all publicly available ($\sim$2800) near-infrared spectra of dwarfs
with spectral types between M0 and L3. First, we investigate methods for the
derivation of the spectral type and extinction using comparison to spectral
templates, and various spectral indices. Then, we examine gravity-sensitive
spectral indices and apply machine learning methods, in order to efficiently
separate young ($\lesssim$10 Myr) objects from the field. Using a set of six
spectral indices for spectral typing, including two newly defined ones (TLI-J
and TLI-K), we are able to achieve a precision below 1 spectral subtype across
the entire spectral type range. We define a new gravity-sensitive spectral
index (TLI-g) that consistently separates young from field objects, showing a
performance superior to other indices from the literature. Even better
separation between the two classes can be achieved through machine learning
methods which use the entire NIR spectra as an input. Moreover, we show that
the H- and K-bands alone are enough for this purpose. Finally, we evaluate the
relative importance of different spectral regions for gravity classification as
returned by the machine learning models. We find that the H-band broad-band
shape is the most relevant feature, followed by the FeH absorption bands at 1.2
$\mu m$ and 1.24 $\mu m$ and the KI doublet at 1.24 $\mu m$.",2021-10-12T21:23:03Z
